driving_experiment_id	driving_experiment
historical	all-forcing simulation of the recent past
ssp245	update of RCP4.5 based on SSP2
ssp370	gap-filling scenario reaching 7.0 based on SSP3
evaluation	reanalysis simulation of the recent past
